Hilton Athens#Athens#Experience luxury at its finest at Hilton Athens.#1#101#150#10/5-14/5,8/3-12/3#Standard room with city view#2#102#200#12/5-15/5,2/10-4/10#Room with balcony#3#103#180#16/6-20/6,5/9-10/9#Deluxe suite#4#104#250#22/7-26/7,12/10-16/10#Executive suite#5#105#300#1/11-5/11,20/12-25/12#Penthouse suite
Marriott London#London#Discover the elegance of Marriott London.#1#201#180#15/7-20/7,5/9-10/9#Deluxe room#2#202#220#22/7-26/7,12/10-16/10#Suite with city view#3#203#200#1/8-5/8,15/11-19/11#Executive room#4#204#250#22/8-26/8,5/12-9/12#Family suite#5#205#300#10/9-15/9,20/12-25/12#Presidential suite
Sheraton Paris#Paris#Experience the charm of Sheraton Paris.#1#301#200#5/6-9/6,10/8-14/8#Executive room#2#302#250#18/6-22/6,2/11-6/11#Family suite#3#303#220#2/7-6/7,15/9-19/9#Deluxe room#4#304#280#8/10-12/10,20/11-24/11#Junior suite#5#305#320#1/12-5/12,15/12-19/12#Royal suite
Hyatt Tokyo#Tokyo#Experience luxury in the heart of Tokyo.#1#401#300#10/5-15/5,8/6-12/6#Deluxe room#2#402#350#18/5-23/5,15/9-20/9#Executive suite#3#403#400#1/7-6/7,10/10-15/10#Presidential suite#4#404#450#20/8-25/8,5/12-10/12#Grand suite#5#405#500#1/11-6/11,20/12-25/12#Penthouse suite
Ritz-Carlton New York#New York#Discover elegance at Ritz-Carlton New York.#1#501#400#15/6-20/6,8/9-13/9#Superior room#2#502#450#22/6-27/6,15/10-20/10#Deluxe suite#3#503#500#1/8-6/8,20/11-25/11#Club room#4#504#550#10/9-15/9,1/12-6/12#Corner suite#5#505#600#10/11-15/11,20/12-25/12#Presidential suite
Fairmont Dubai#Dubai#Indulge in luxury at Fairmont Dubai.#1#601#350#5/5-10/5,15/6-20/6#Deluxe room#2#602#400#18/5-23/5,10/9-15/9#Junior suite#3#603#450#1/7-6/7,20/10-25/10#Executive suite#4#604#500#20/8-25/8,5/12-10/12#Presidential suite#5#605#550#10/11-15/11,20/12-25/12#Royal suite
Four Seasons Sydney#Sydney#Experience stunning views at Four Seasons Sydney.#1#701#500#10/6-15/6,8/8-13/8#Deluxe city view room#2#702#550#22/6-27/6,15/9-20/9#Premier harbor view room#3#703#600#1/8-6/8,20/11-25/11#Junior suite#4#704#650#10/9-15/9,1/12-6/12#Executive suite#5#705#700#10/11-15/11,20/12-25/12#Presidential suite
Mandarin Oriental Bangkok#Bangkok#Experience luxury on the banks of the Chao Phraya River.#1#801#450#5/5-10/5,15/6-20/6#Deluxe room#2#802#500#18/5-23/5,10/9-15/9#Premier suite#3#803#550#1/7-6/7,20/10-25/10#Executive suite#4#804#600#20/8-25/8,5/12-10/12#Mandarin suite#5#805#650#10/11-15/11,20/12-25/12#Presidential suite
Waldorf Astoria Berlin#Berlin#Indulge in luxury at Waldorf Astoria Berlin.#1#901#350#10/5-15/5,8/6-12/6#Deluxe room#2#902#400#18/5-23/5,15/9-20/9#Junior suite#3#903#450#1/7-6/7,10/10-15/10#Executive suite#4#904#500#20/8-25/8,5/12-10/12#Presidential suite#5#905#550#1/11-6/11,20/12-25/12#Penthouse suite
The Peninsula Hong Kong#Hong Kong#Experience iconic luxury at The Peninsula Hong Kong.#1#1001#500#15/6-20/6,8/9-13/9#Superior room#2#1002#550#22/6-27/6,15/10-20/10#Deluxe suite#3#1003#600#1/8-6/8,20/11-25/11#Grand deluxe room#4#1004#650#10/9-15/9,1/12-6/12#Executive suite#5#1005#700#10/11-15/11,20/12-25/12#Presidential suite
Burj Al Arab Jumeirah#Dubai#Experience ultimate luxury at Burj Al Arab Jumeirah.#1#1101#1000#5/5-10/5,15/6-20/6#Deluxe room#2#1102#1500#18/5-23/5,10/9-15/9#Panoramic suite#3#1103#2000#1/7-6/7,20/10-25/10#Two-bedroom suite#4#1104#2500#20/8-25/8,5/12-10/12#Presidential suite#5#1105#3000#10/11-15/11,20/12-25/12#Royal suite
The Ritz Paris#Paris#Discover timeless elegance at The Ritz Paris.#1#1201#600#10/6-15/6,8/8-13/8#Superior room#2#1202#700#22/6-27/6,15/9-20/9#Deluxe suite#3#1203#800#1/8-6/8,20/11-25/11#Prestige suite#4#1204#900#10/9-15/9,1/12-6/12#Two-bedroom suite#5#1205#1000#10/11-15/11,20/12-25/12#Presidential suite
The Savoy London#London#Experience British elegance at The Savoy London.#1#1301#450#5/5-10/5,15/6-20/6#Deluxe room#2#1302#550#18/5-23/5,10/9-15/9#Junior suite#3#1303#650#1/7-6/7,20/10-25/10#Executive suite#4#1304#750#20/8-25/8,5/12-10/12#Penthouse suite#5#1305#850#10
